GRB130307A GBM 211.70  56.47  69.05 264.62 cstat  -1.94 0.42 0.28  1.93 4.60E-06 0.46E-06 4.27E-06 0.43E-06
GRB130320A IPN 302.68  48.40  93.39 245.98 chi    -1.43 0.10 0.10  1.78 3.04E-05 0.30E-05 8.38E-05 0.84E-05
GRB130327B LAT 311.58  -8.23  29.15 317.22 chi    -1.54 0.03 0.03  1.99 7.72E-06 0.77E-06 1.50E-04 0.15E-04
GRB130408A XRT 256.21   8.58 125.28 200.95 chi    -1.98 0.37 0.26  1.13 2.20E-06 0.22E-06 6.66E-06 0.67E-06
GRB130416B GBM 207.03 -53.67 117.86 151.85 cstat  -2.78 1.34 0.56  0.82 3.84E-06 0.38E-06 5.68E-07 0.57E-07
GRB130427A LAT 206.51  72.50 148.66 286.12 chi    -2.56 0.15 0.02 14.23 6.58E-05 0.66E-05 3.11E-04 0.31E-04
GRB130502B LAT 138.65  15.12 124.86  18.88 chi    -1.58 0.05 0.05  1.83 1.12E-05 0.11E-05 1.41E-04 0.14E-04
GRB130518C GBM  32.35  -7.99  78.05  89.71 cstat  -2.07 0.21 0.17  1.20 8.02E-06 0.80E-06 3.72E-06 0.37E-06
GRB130606B LAT 332.22  34.86 121.26 242.85 chi    -2.21 0.08 0.07  0.86 7.98E-06 0.80E-06 1.47E-04 0.15E-04
GRB130804A GBM 314.23 -30.37  84.92 345.55 cstat  -2.56 1.36 0.62  0.78 6.54E-06 0.65E-06 1.31E-06 0.13E-06
GRB130828A LAT  50.93  31.53   5.42  86.39 chi    -2.32 0.71 0.41  1.08 6.38E-07 0.64E-07 1.21E-05 0.12E-05
GRB131028A GBM 137.02  14.24 115.19 182.50 chi    -2.28 0.01 0.05  2.22 1.72E-05 0.17E-05 8.71E-05 0.87E-05
GRB131108A LAT 232.93  51.55  40.83  75.60 chi    -1.60 0.04 0.04  1.80 7.60E-06 0.76E-06 1.05E-04 0.11E-04
GRB131122B GBM  57.26  31.30  79.07 183.61 chi    -1.70 0.63 0.33  0.86 2.60E-06 0.26E-06 3.98E-06 0.40E-06
GRB131215B GBM 147.15  25.50 133.95 179.18 chi    -1.52 0.17 0.18  2.30 4.82E-06 0.48E-06 3.46E-05 0.35E-05
GRB140428B GBM 118.90   5.64  38.89   4.29 cstat  -2.18 1.59 0.60  0.91 2.46E-06 0.25E-06 1.87E-07 0.19E-07
GRB140508A XRT  72.60  37.67 118.93 187.29 chi    -2.58 0.30 0.24  1.10 1.75E-06 0.18E-06 2.19E-05 0.22E-05
GRB140523A LAT 200.95  36.95 131.04 270.60 chi    -1.83 0.05 0.05  1.50 8.86E-06 0.89E-06 3.46E-05 0.35E-05
GRB140604A IPN 348.87  -3.85  96.77 179.17 cstat  -2.27 0.41 0.28  1.10 1.31E-05 0.13E-05 4.84E-06 0.48E-06
GRB140611A XRT 352.71 -67.02  48.55  78.75 cstat  -2.06 0.07 0.06  1.63 1.87E-05 0.19E-05 5.98E-06 0.60E-06
GRB140619B LAT 236.49  21.09  30.47  11.80 cstat  -2.39 0.30 0.23  1.09 3.54E-06 0.35E-06 8.50E-07 0.85E-07
GRB140621A GBM 185.17 -18.04 106.93 261.23 chi    -1.61 0.08 0.08  1.37 1.21E-05 0.12E-05 3.65E-05 0.36E-05
GRB140721A GBM 289.84  23.59  10.56  34.59 chi    -1.61 0.22 0.18  1.04 1.74E-06 0.17E-06 6.45E-06 0.65E-06
GRB140821A GBM 248.08  68.27  92.05  73.04 chi    -2.06 0.46 0.32  0.94 3.00E-06 0.30E-06 2.91E-05 0.29E-05
GRB140901A GBM 279.15 -83.82  62.23 209.17 cstat  -2.30 0.11 0.11  1.47 2.66E-05 0.27E-05 1.49E-06 0.15E-06
GRB140906C IPN  50.76 -27.21  61.40 269.94 cstat  -2.59 1.14 0.53  0.91 2.98E-06 0.30E-06 3.10E-07 0.31E-07
GRB140917A GBM 227.20  69.25  80.35  60.29 chi    -1.50 0.05 0.05  1.55 1.24E-05 0.12E-05 1.08E-04 0.11E-04
GRB140930B XRT 115.37 -38.19 113.01 247.31 cstat  -2.32 0.16 0.14  0.97 1.05E-05 0.11E-05 4.35E-06 0.43E-06
GRB141012A LAT 347.17 -22.85   9.14 352.60 chi    -2.32 0.74 0.43  0.99 4.78E-07 0.48E-07 5.76E-06 0.58E-06
GRB141104A IPN  20.10  -2.82 120.18 276.72 chi    -2.33 1.02 0.36  1.78 3.24E-06 0.32E-06 1.79E-05 0.18E-05
GRB141202A GBM 162.08  44.91 129.90 147.54 cstat  -3.05 0.82 0.51  0.96 1.36E-06 0.14E-06 5.22E-07 0.52E-07
GRB141222A LAT 294.97   4.60 130.05 327.17 cstat  -2.06 0.21 0.14  1.07 8.24E-06 0.82E-06 3.43E-06 0.34E-06
GRB150127A GBM  26.71  -6.33  69.26 215.35 chi    -1.53 0.05 0.05  1.72 1.27E-05 0.13E-05 1.27E-04 0.13E-04
GRB150222C GBM 287.06  13.87 119.36 220.15 chi    -2.11 0.27 0.21  1.17 2.38E-06 0.24E-06 1.26E-05 0.13E-05
GRB150319A GBM 116.79 -34.54 115.62 116.61 pgstat -3.79 3.05 1.02  0.97 4.56E-07 0.46E-07 1.25E-06 0.12E-06
GRB150320A GBM 144.33  38.21 161.01 215.63 cstat  -2.92 5.62 0.78  0.89 1.74E-06 0.17E-06 2.23E-07 0.22E-07
GRB150403A XRT 333.15 -36.93 143.56  41.36 chi    -2.34 0.07 0.07  1.48 7.80E-06 0.78E-06 4.24E-05 0.42E-05
GRB150423A XRT   9.72  59.28  68.16 339.95 cstat  -2.47 1.53 0.77  1.03 2.82E-06 0.28E-06 4.85E-07 0.48E-07
