recno,GRB,z,Tf,e_Tf,Vf,s_Vf,Vf05,Vf95,logLiso,e_logLiso,Det,r_logLiso,Npeaks,_RA,_DE
27,"070318 ",0.836,28.7,1.47,0.231,0.015,-0.03,0.019,51.722,0.088,"BAT",1,1,48.48679,-42.94619
28,"070328 ",2.0627,35.0,1.0,0.152,0.005,-0.01,0.007,53.331,0.069,"BAT",3,5,65.11533,-34.06683
29,"070411 ",2.954,65.7,5.26,0.243,0.028,-0.055,0.036,52.406,0.132,"BAT",1,3,107.33304,1.06461
30,"070419B",1.9586,103.94,3.2,0.124,0.009,-0.016,0.015,52.354,0.083,"BAT",1,3,315.70758,-31.26369
31,"070521 ",2.0865,21.55,0.38,0.304,0.005,-0.009,0.009,51.504,0.103,"BAT",2,14,242.66083,30.25631
32,"070612A",0.617,134.3,8.5,0.294,0.06,-0.126,0.074,51.208,0.122,"BAT",1,2,121.36887,37.26932
33,"071003 ",1.60435,33.86,1.71,0.277,0.015,-0.039,0.011,53.103,0.073,"BAT",2,6,301.85208,10.94689
34,"071010B",0.947,12.16,0.76,0.176,0.009,-0.018,0.01,51.765,0.019,"BAT",2,2,150.53833,45.73117
35,"071020 ",2.145,2.67,0.13,0.175,0.007,-0.011,0.011,53.02,0.215,"BAT",2,2,119.66521,32.86078
36,"071117 ",1.331,2.33,0.11,0.062,0.007,-0.013,0.012,52.761,0.161,"BAT",2,1,335.04333,-63.4435
37,"080207 ",2.0858,174.64,7.94,0.115,0.024,-0.041,0.038,51.864,0.103,"BAT",1,3,207.51258,7.50222
38,"080210 ",2.641,15.57,2.22,0.083,0.027,-0.046,0.041,52.268,0.129,"BAT",1,2,251.26679,13.82675
39,"080319B",0.937,37.24,0.19,0.103,0.001,-0.001,0.001,53.073,0.019,"BAT",3,43,217.921,36.30256
40,"080319C",1.95,8.78,0.49,0.158,0.014,-0.024,0.02,53.037,0.06,"BAT",3,2,258.98117,55.39214
41,"080411 ",1.03,27.83,0.29,0.686,0.001,-0.004,0.001,52.914,0.055,"BAT",2,10,37.97842,-71.30208
42,"080413A",2.433,14.2,0.8,0.47,0.011,-0.022,0.014,52.671,0.14,"BAT",2,4,287.29887,-27.67767
43,"080413B",1.1,2.7,0.3,0.095,0.013,-0.031,0.013,52.314,0.018,"BAT",2,1,326.14425,-19.98089
44,"080430 ",0.767,8.46,0.54,0.114,0.012,-0.022,0.018,51.297,0.087,"BAT",1,1,165.31096,51.6855
45,"080603B",2.6892,18.27,0.63,0.446,0.013,-0.015,0.03,52.512,0.025,"BAT",2,7,176.53108,68.06069
46,"080605 ",1.6398,12.88,0.23,0.224,0.004,-0.008,0.006,53.292,0.092,"BAT",2,7,262.12517,4.01581
47,"080607 ",3.036,31.08,1.48,0.465,0.008,-0.018,0.008,54.121,0.089,"BAT",2,15,194.94642,15.91933
48,"080721 ",2.602,10.97,0.62,0.26,0.019,-0.034,0.031,53.874,0.068,"BAT",2,3,224.48233,-11.72358
49,"080804 ",2.204,14.47,0.58,0.057,0.011,-0.017,0.018,52.601,0.084,"GBM",1,2,328.67458,-53.18894
50,"080805 ",1.505,44.73,2.89,0.14,0.02,-0.037,0.028,51.868,0.083,"BAT",1,2,314.23042,-62.433
51,"080810 ",3.35,51.15,2.17,0.318,0.014,-0.023,0.023,52.959,0.065,"BAT",1,7,356.78333,0.30975
52,"080906 ",2.13,82.55,8.26,0.282,0.027,-0.048,0.04,52.181,0.111,"BAT",1,2,228.055,-80.54
53,"080916A",0.689,30.89,0.79,0.199,0.008,-0.014,0.014,51.351,0.067,"BAT",2,2,336.28875,-57.02603
54,"081008 ",1.9685,72.82,2.95,0.445,0.016,-0.043,0.009,52.179,0.103,"BAT",1,5,279.96833,-57.433
55,"081109 ",0.9785,42.24,3.84,0.093,0.016,-0.02,0.031,51.586,0.069,"BAT",5,2,330.79792,-54.71125
56,"081121 ",2.512,11.76,0.48,0.18,0.018,-0.027,0.032,52.971,0.113,"GBM",2,3,89.28208,-60.61169
57,"081203A",2.1,58.97,1.89,0.145,0.009,-0.017,0.015,52.024,0.07,"BAT",3,4,233.03167,63.52083
58,"081221 ",2.259,20.02,0.26,0.134,0.003,-0.005,0.004,53.066,0.037,"BAT",3,4,15.7925,-24.54806
59,"081222 ",2.77,9.59,0.35,0.095,0.005,-0.007,0.01,53.23,0.061,"BAT",2,3,22.74067,-34.09556
60,"090102 ",1.547,17.98,0.84,0.176,0.025,-0.047,0.038,52.783,0.062,"BAT",2,6,128.24792,33.10714
61,"090113 ",1.7493,5.09,0.53,0.332,0.019,-0.029,0.033,52.282,0.096,"BAT",1,4,32.06667,33.43567
62,"090201 ",2.1,46.62,1.26,0.491,0.007,-0.017,0.007,53.313,0.025,"BAT",3,5,92.05125,-46.60447
63,"090323 ",3.583,85.97,1.12,0.302,0.004,-0.007,0.006,53.654,0.078,"GBM",2,16,190.7095,17.05331
64,"090328 ",0.736,29.15,0.49,0.308,0.005,-0.013,0.002,52.264,0.031,"GBM",2,13,90.66537,-41.88197
65,"090418A",1.608,36.94,1.37,0.181,0.019,-0.038,0.024,52.354,0.071,"BAT",1,5,269.31321,33.40586
66,"090423 ",8.1,7.23,1.45,0.11,0.021,-0.035,0.035,53.412,0.093,"BAT",2,1,148.88829,18.14936
67,"090424 ",0.544,4.73,0.25,0.276,0.006,-0.009,0.01,52.341,0.026,"BAT",2,8,189.53083,16.82942
68,"090516 ",4.109,41.14,2.3,0.387,0.022,-0.054,0.018,52.989,0.025,"GBM",2,4,138.246,-11.848
69,"090618 ",0.54,69.1,0.37,0.302,0.001,-0.002,0.002,52.0,0.049,"BAT",2,9,294.0075,78.35197
70,"090715B",3.0,60.27,2.94,0.551,0.014,-0.028,0.019,52.83,0.124,"BAT",2,5,251.33996,44.83892
